"user_id"	"event_time"	"meta_data"
"CAESEKJ2nDdc4eMyDHmGQlO5jPU"	"1544662603322397"	"dc_pre=CIjFhc7Mm98CFUKIaAodXNsHcA;u1=4617842802;u2=2384539156;u4=138250049686;u5=728x90;u6=j;u7=134182ac12c0a218d0b22f03c66bf364;~oref=https://www.testsite02.com.au/"
"CAESEDSTJ9g2N8QOGRRgMKJB6Ek"	"1544669588791076"	"u1=4597423878;u2=2439427852;u4=138252731386;u5=728x90;u6=j;u7=1cd8146abb0a75478a2195c48c0fe846;~oref=https://www.testsite02.com.au/"
"CAESEKKtoz_7UDRKvoEYoPAE6e0"	"1544672810218182"	"dc_pre=CP_aiNHym98CFVFJKwodlS8J9w;u1=4537116216;u2=2406046948;u4=138254010892;u5=970x250;u6=j;u7=46edc3874edf7b3ece2dc638d168a5ac;~oref=https://www.testsite02.com.au/"
"0"	"1544642400796788"	"u1=https://www.testsite02.com.au/;u2=article;u3=Homepage;u5=Homepage;dc_rdid=*;_dc_1=3;~oref=https://www.testsite02.com.au/world/asia/outrageous-australia-notified-thailand-about-refugee-footballer-s-travel-plans-20181212-p50lry.html"
"0"	"1544633848201940"	"u1=https://amp-article-com-au.cdn.ampproject.org/v/s/amp.article.com.au/world/asia/very-important-thing-trump-s-possible-huawei-intervention-raises-eyebrows-20181212-p50lri.html?amp_js_v=0.1&usqp=mq331AQJCAEoAVgBgAEB;u2=article;u3=World;u4=asia;u5=Article;dc_rdid=*"
"0"	"1544669741305406"	"dc_pre=CJuA15nnm98CFYuKwgodaE8MWQ;u1=https://www.testsite02.com.au/interactive/2018/hsc-results/pointer/static/index.html?resizable=true&type=honour;u2=article;u3=National;u5=Article;dc_rdid=*"
"0"	"1544698977066005"	"dc_pre=CPbNgo7UnN8CFU2maAod1gEAJw;u1=https://www.testsite02.com.au/;u2=article;u3=Homepage;u5=Homepage;dc_rdid=*;_dc_1=3;~oref=https://www.testsite01.com.au/"
"CAESEAM0KFVJCL2QmnvGBCjI-Jk"	"1544630921864699"	"u1=4572677999;u2=2441453217;u4=138253033559;u5=970x250;u6=j;~oref=https://www.testsite01.com.au/"
"CAESEFhnAFm4-QBtm6Urk2esOmQ"	"1544653336779257"	"dc_pre=CJ3juYuqm98CFU1ijgodcDYDaQ;u1=4659090434;u2=2439720386;u4=138253348942;u5=970x250;u6=j;~oref=https://www.testsite01.com.au/"
"CAESEPmuhCHMpLZj9Eh-8X85ar4"	"1544680912012262"	"dc_pre=CIuEnOiQnN8CFUFFKwodZDkOnA;u1=4537116216;u2=2406046948;u4=138254010892;u5=970x250;u6=j;u7=a41ca4e634bcbc08af5131fa758d6016;~oref=https://www.testsite01.com.au/"
"CAESEMTSgunlw5omCoqZco0cFuA"	"1544687485148989"	"u1=4513525805;u2=2442952711;u4=138253669922;u5=728x90;u6=j;~oref=https://www.testsite01.com.au/sport/soccer/lederer-fong-appointed-to-leadership-of-a-league-club-rep-body-20181126-p50ihv.html"
"CAESEGqrsAyhE_Y8jRIWn7LZI1c"	"1544704202274227"	"u1=4662932081;u2=2445812797;u4=138254311006;u5=970x250;u6=j;~oref=https://www.testsite02.com.au/environment/weather/enough-to-dampen-the-christmas-spirit-severe-thunderstorm-warning-issued-for-nsw-20181213-p50lyy.html"
"CAESEGWfOJFgZqiHXihe3CoOt7E"	"1544678118829287"	"dc_pre=CI3RsLSGnN8CFUnrZAodZ2wGCg;u1=4513525805;u2=2267623893;u4=138253630849;u5=300x600;u6=j;u7=3ff2f9b7357b982e0d2d73382f5b3fd5;~oref=https://www.testsite02.com.au/national/nsw/partner-of-fortnite-gamer-applies-to-change-avo-conditions-20181213-p50lyg.html"
"CAESEGkFhL091Jqp2KqVabAS-UM"	"1544691340172840"	"dc_pre=CPXa99S3nN8CFUqrZAodJY0H7A;u1=4513525805;u2=2426015707;u4=138249801650;u5=728x90;u6=j;~oref=https://www.testsite03.com.au/sport/nrl/hayne-makes-rare-public-appearance-with-former-teammates-20181213-p50m3g.html"
"0"	"1544700522302964"	"u1=4617842802;u2=2384539156;u4=138249792534;u5=728x90;u6=j;_dc_1=3;~oref=https://www.testsite03.com.au/education/they-topped-the-hsc-over-the-past-40-years-what-are-they-doing-now-20181123-p50hv6.html"
"0"	"1544658716298340"	"dc_pre=CPjxiZC-m98CFc2BcAodPaAGlQ;u1=https://www.google.com/;u2=article;u3=Homepage;u5=Homepage;dc_rdid=*;_dc_1=3;~oref=https://www.testsite03.com.au/entertainment/movies/margot-robbie-revives-oscar-chances-with-surprise-sag-nod-20181213-p50lx9.html"
"0"	"1544652730027396"	"u1=https://www.testsite03.com.au/;u2=article;u3=Homepage;u5=Homepage;dc_rdid=*;_dc_1=3;~oref=https://www.testsite03.com.au/"
"CAESEGQSAG5XwRFHuS5yHZzZcPQ"	"1544668991378570"	"u1=4513525805;u2=2442952711;u4=138253628205;u5=300x250;u6=j;~oref=https://www.testsite03.com.au/politics/federal/no-movement-on-the-outstations-20090525-bkq5.html"
